18,Awesome new app\, so far so good.,US,2014-07-15 04:36:00,5,Gottaloveit420!,Great... Love it,427932542,
19,Love recording sound bites of where I am and what I'm doing .,US,2014-07-14 21:52:00,5,M19876,Fun!,427932542,
2710,Looking forward to digging in deeper.,US,2014-09-24 02:48:00,5,John Thornton,Love the app,674208785,
2711,So many options available to use! It's great for personal and business use. Tons of quotes\, stickers\, and text options at your fingertips!,US,2014-09-24 00:32:00,5,Tiff79,Best photo app!,674208785,
2712,Not very user friendly,US,2014-09-23 12:47:00,3,Mrscarnley,Good App Not user friendly,674208785,
2713,I have friends that love this app\, but my experience hasn't been the same. It won't open on my iPad and closes with in 2 minutes on my iPhone. I want to use and enjoy it\, but don't foresee that happening. Big bummer.,US,2014-09-22 14:42:00,2,Okmaybeso,Disappointing,674208785,
2714,Let me start buy saying I never take the time to rate or write review\, however this app deserves it and a five star rating. It's all done with this one app. I don't need to download or use any other. So many features. If you're into editing photos then app is for you....!!!! Enjoy :),US,2014-09-21 08:01:00,5,Miss Mona ;),Best App Ever!!!,674208785,
2715,The best picture app ever!!,US,2014-09-19 20:47:00,5,Klah Marie,Love it!!,674208785,
2716,Love this app. Perfect for updating my social media accounts and inspiring my fans and clients. I love how I can use this on the go when a plain text update just won't do. If I could only add my logo!! Still absolutely LOVE it.,US,2014-09-19 13:21:00,5,CJH_07,Perfect for my small business.,674208785,
2717,It's perfect!,US,2014-09-18 15:52:00,5,Jeniferia,Best app,674208785,
2718,I adore this App. I use it with almost every pic.,US,2014-09-17 22:23:00,5,JFeliz,Amazing!! A MUST HAVE,674208785,
2719,This is the best app I've used for playing with pictures. The selection of graphics is excellent! So glad I found this one!,US,2014-09-17 16:34:00,5,LadySosa308,Best Photo Edit App,674208785,
2720,Such a fun app and so many options to create an awesome picture.,US,2014-09-17 02:30:00,5,mas916tlm,Fun,674208785,
2721,Must download! You will not regret it! If you love writing on your pics & being creative with them\, get this app!!! It's free! I have only spent a few bucks on it cuz I really wanted sum extra stuff but this app has so much free!,US,2014-09-16 18:13:00,5,BrandymLamar,This is the best creative app ever!,674208785,
2722,5 stars! This is the best app out on market in my opinion. It's easy to use and there are endless options and such beautiful designs,US,2014-09-16 03:36:00,5,LoriAnn0527,Best photo fun,674208785,
2723,I use this app on a daily basis. It is simple to use and you can create awesome settings for your pictures. It is one of the best I have used. Great for decorating and enhancing your pictures for uploading and sharing on Facebook\, eBay\, Etsy\, etc. I love it and so will you!,US,2014-09-15 00:05:00,5,Twilighter18,Awesome App!,674208785,
2724,The app is one of the best photo apps I've tried. However it is stupid expensive for the add-ons. Each package is $2.99 and that doesn't even remove the watermark. I spent $6 buying 2 packages and there is still much more to buy. At $6 I think users should have access to everything and have the watermark removed.,US,2014-09-14 02:19:00,4,Britz,Great app but very expensive.,674208785,
2725,So easy to use and love all the stickers and fun things I can do with it!,US,2014-09-13 17:20:00,5,Chelsea in Alabama 78,LOVE this App,674208785,
2726,I love messing around with my photos and doing collages!,US,2014-09-13 02:14:00,5,Kiki7172,Fun!,674208785,
2727,Love it!!I don't need any other photo editing app,US,2014-09-12 21:52:00,5,Guesswhat23,5 stars!,674208785,
2728,I like the app & all the graphics\, but I hate that I can't access my photos from my camera roll & only the ones that I take in the app. Because if this I primarily use Font Candy from Easy Tiger Apps,US,2014-09-12 19:25:00,2,JulzOnTheGO,Cool App Some Issues,674208785,
2729,Dress up my pictures like I see on Facebook!,US,2014-09-12 12:28:00,5,Goivh,Fun app!,674208785,
2730,Awesome app ,US,2014-09-10 04:46:00,5,its.liz,✔️,674208785,
2731,What a fun app\, love it!,US,2014-09-10 00:49:00,4,laurel190,Love,674208785,
2732,Best photo app I have used.,US,2014-09-08 19:36:00,5,Cheesecake 86,Very Good app,674208785,
2733,I am totally obsessed!! Soooo many options that make all my pictures millions times better!,US,2014-09-08 04:28:00,5,Wendilane,Awesome,674208785,
2734,Love the app. Just wish the free version unlocked a few more stickers/styles,US,2014-09-08 03:05:00,4,Mariessa02,Great app!,674208785,
2735,I loved this app but now every time I try to use it\, the app will force close. I uninstalled and have rebooted my phone\, nothing works. I emailed there tech support and there advise did not work either.,US,2014-09-07 23:25:00,1,KoltonMama,Do not like app..,674208785,
2736,Great app! Easy to use and creates fun pictures!!,US,2014-09-07 22:31:00,5,Appadmierer84,Amazing!!!,674208785,
2737,Easy to use and tons of great fonts frames and graphics!,US,2014-09-07 03:41:00,5,KBD514,Love it!,674208785,
2738,Para comprar necesitas gastar $19.99 o 2.99 por cada pakete y luego restaurar tu compra que pasa como dicen sino te gusta no lo hagas y si me molesta porque aveces no te de vuelven el dinero ni el paquete que horror ! Porfavor tiene que mejorar no empeorar Son teléfonos muy inteligentes y nosotros quienes somos !,US,2014-09-05 17:38:00,1,aurora delapuente,No me gusta la nueva versión !,674208785,
2739,Lots of fun designs to add and super easy to use!,US,2014-09-05 16:54:00,5,Amanda Kirk,Best Photo App,674208785,
2740,I absolutely love this app! It's such a great app that can do so manyyyyyy things with the options to add on several more items. Use it on a weekly basis!,US,2014-09-04 15:12:00,5,Flamesnstars,BEST photo app!,674208785,
2741,I love this app! It keeps improving with different enhancement and tweeks! People always ask me what I use and I tell the photofy!!! ☺️,US,2014-09-04 12:08:00,5,Pjbk77,Favorite app,674208785,
2742,I love all the choices this app has for frames and designs. You have to pay extra for a lot of them but there are still many options if you don't. I do wish there were more collage options. Love this app!!,US,2014-09-04 00:08:00,4,Kellyejean,My go to photo editing app.,674208785,
2743,I absolutely love this app! Tons of filters\, stickers\, frames\, etc.! Will never use any other photo app again! Great job Photofy!!!!,US,2014-09-03 08:47:00,5,Riley Faye's Mama,Best photo app ever!!!,674208785,
2744,Perfect phot editing app. Best by far and I have purchased all the extras. I love it and use it everyday!,US,2014-09-03 05:21:00,5,Manda615,Amazing!,674208785,
2745,I love this app. It is very easy to use\, I have so much fun with it. Makes my pics look great !,US,2014-09-03 03:13:00,5,g8tor gal,Awesome App,674208785,
2746,Nice an simple,US,2014-09-02 18:31:00,5,Gracekelli,Lovely,674208785,
2747,This app is so cool! I can finally make my photos awesome!,US,2014-09-02 11:32:00,5,I love weather,Awesome app,674208785,
2748,seriously in my top 2 favorite apps- I use it daily! masterpieces everytime! ,US,2014-09-02 05:18:00,5,fionachristiine,i LOVE this app!!,674208785,
2749,Use it for almost all my photo posts! :),US,2014-09-02 00:03:00,5,minqxMinqx,Love!!!,674208785,
2750,I've used a lot of photo apps\, and deleted a lot of those same apps. I absolutely love using this app. It's so easy and adds so much to a photo.,US,2014-08-31 23:17:00,5,VLV4UA,One of the best photo apps,674208785,
2751,Wow! I like how many options I'm given for a collage\, the editing\, and more so w/how I want to share the photo.  This is a KEEPER! I just hope their updates don't mess the amazing-ness of this app up. Check it out if you haven't done so already!,US,2014-08-31 17:58:00,5,MB Morales,Very IMPRESSED!,674208785,
2752,Just bought the GA BULLDOGS element because they showed 70+ Within the collection\, after purchase there were only 20. And of course not any that I wanted. Total rip off!!!!!!,US,2014-08-31 13:35:00,1,Angiebel00,Do not purchase,674208785,
2753,Love this app use it as much as I can even more now that im pregnant greasy app to edit pics,US,2014-08-31 12:57:00,5,Dayval122,Crear Apple,674208785,
2754,This app is awesome!!,US,2014-08-31 00:40:00,5,Heidycat,Fun app.,674208785,
2755,Love this app!!,US,2014-08-30 19:54:00,5,BamagirlJJ,,674208785,
2756,Love this app. I'm a new mom\, so it makes it super easy to document all of my little girl's firsts!,US,2014-08-30 18:42:00,5,SKC1016,Love this app!,674208785,
2757,It had an update and it wouldn't open. I went to the App Store and the app disappeared. It shows in the app store that it's installed but it just won't open. The icon is not on my iphone5. Weird...The app was really cool when it worked.,US,2014-08-30 16:57:00,2,SadieDawn1977,Updated and it disappeared,674208785,
2758,:),US,2014-08-30 14:27:00,5,Kandi Yang,Best Photo App!,674208785,
2759,I have had several different collage apps and this one is my favorite. Positioning of pictures is perfect and the extra options are awesome!,US,2014-08-30 13:29:00,5,Rjdsteffs ,Love this app,674208785,
2760,I really love this app but when trying to make a collage it won't let me pick my pictures it keeps saying pick a picture pls fix this ASAP I have paid for some packages already and can't use them ..,US,2014-08-30 11:53:00,3,Marlene28,Fix bug,674208785,
2761,What an awesome app! Love the option of transparency.,US,2014-08-30 01:44:00,5,Brinsmom,Photo lover,674208785,
2762,Easy to use,US,2014-08-28 21:41:00,5,Kinkin17,Love it,674208785,
2763,Is there any way u could add design for collage picture frame and have floating picture ?? That would be totally awesome! And would me me happy and give y'all a five stars!,US,2014-08-27 20:40:00,3,>>Chelle<<,Love it!!!,674208785,
2764,Wow\, this was five stars worthy for awhile. Told a ton of friends about it and everything and then POOF! They do an update and suddenly everything is a package from $1.99-$24.99\, and all of the good images/stickers are gone\, or not worth the money. I rarely write reviews\, but how else am I supposed to tell you guys at Photofy that your new update is SO disappointing and I'll no longer bother referring people to your app or using you myself. Way to sell out guys\, way to sell out...,US,2014-08-27 03:57:00,1,AStarkkk,This went downhill FAST,674208785,
2765,Best editing app for Instagram\, love the many options.,US,2014-08-27 00:55:00,5,hockey12azmom,LOVE Photofy! 5 ⭐️⭐️⭐️⭐️⭐️,674208785,
2766,AMAZING AMAZINGGGGGGGGG AMAZINGGGGGGGG,US,2014-08-26 09:58:00,5,Pride of canada,....,674208785,
2767,This app is amazing!!!!!,US,2014-08-25 16:22:00,5,PrototypeDelta6,Really cool app,674208785,
2768,Was frustrating trying to figure out how to save my work at first so 4 stars but I'm really liking it now.,US,2014-08-25 13:44:00,4,Nick name taken by me,Like it so far,674208785,
2769,I love the app. But i can't save ANY OF THE PHOTOS. It wont let me. And i can't share to facebook. I can to twitter but when i go on twitter to save it\, it wont let me. What the hell? Just keeps tell me error. Fix that.,US,2014-08-25 03:27:00,1,Loonylacy123434,Error??,674208785,
2770,I use this app a lot for editing\, as well as creating images. It offers trendy options in each of the design categories available.,US,2014-08-24 23:36:00,4,Myrev1221,Photofy it :),674208785,
2771,The content & options in this app are unlike any other editing app I've come across (& I've probably tried them all). It's definitely one that you want to take for a spin & see what makes it so different. As AWESOME as the app & it's functions are\, the support is even better! Accidentally did something wrong\, could not figure it out & emailed support pretty late in the evening. I had a reply & solution before I even went to bed! They even checked back today to make sure my issue was resolved... Awesome team & awesome app!! Great for marketing & for digital scrapbooking!,US,2014-08-23 16:27:00,5,WillThisNicknameWorkPlease,WOW! Best App & Support Ever!!,674208785,
2772,,US,2014-08-23 14:18:00,5,dbmps,Best photo app ever!!!!,674208785,
2773,This is the easiest\, best photo edit app I've tried\, definitely a keeper\, Thanks !!,US,2014-08-23 02:09:00,5,grinogirl,Sweet !!,674208785,
2774,Love this app! I am able to make the cutest photos! Five stars! The new collage feature is neat too!,US,2014-08-22 22:36:00,5,Martina Bock,LOVE LOVE LOVE,674208785,
2775,I love this app!  I just can't get enough of it!  One of the BEST OUT THERE!,US,2014-08-22 20:24:00,5,Phtogurl,L❤️VE,674208785,
2776,Best app on my phone I love it.❤️,US,2014-08-22 06:14:00,5,Kari.Ponce24,Awesome App!,674208785,
2777,One word - INCREDIBLE !!! Definitely worth having in your Arsenal\, ladies.,US,2014-08-22 00:37:00,5,ELIZABETH SUSAN,INCREDIBLE,674208785,
2778,Super cute and creative :-) love it,US,2014-08-22 00:07:00,5,Yaresme,Great app,674208785,
2779,I love the effects\, frames & pretty much EVERYTHING!,US,2014-08-21 20:30:00,5,Photographer chick,Best Photo editor ever !!!!,674208785,
2780,Love! Love! Love!,US,2014-08-21 19:41:00,5,Kane sjabanans,Review,674208785,
2781,So far the best photo app I've ever used!!!!,US,2014-08-21 09:58:00,5,NatyPayams,Best photo app!!!,674208785,
2782,This app is awesome. I create a wonderful & funny picture!!!! Thanks for create this necessary app!!! ,US,2014-08-21 08:31:00,5,Nathnel,App,674208785,
2783,Simply the best photo app out there!,US,2014-08-21 06:54:00,5,Icelza15,Great App,674208785,
2784,I love this app!!!!,US,2014-08-21 00:57:00,5,Mrspusspuss,Love,674208785,
2785,LOVE this app!  Super easy to use and share. Tons of fun stuff to choose from!  Can't say enough good things about it!,US,2014-08-20 21:41:00,5,Good2go*,Awesome!!,674208785,
2786,Love this app! It's very user-friendly and has tons of great designs. It should get more 5 star-reviews. Keep it up!,US,2014-08-20 12:51:00,5,Katecantik,Great app!,674208785,
2787,I have not written a review in a long time however this app is deserving of my time to write it. I discovered this app when a friend of mine posted a photo she had made using Photofy. It said something along the lines of whatever you do in life be sure it makes you happy.  I love the saying and the picture she created. I have to admit I use a different app called Collage to put multiple pictures together and save it to my camera roll and then select that picture to open in Photofy. It seems like a lengthy process but the collages I post make for my friends and family are absolutely awesome. It took a little time to fully learn how to use this app… Okay a full Sunday afternoon ... But it's wonderful,US,2014-08-20 00:33:00,5,Amy12477,Best photo app in yeArs,674208785,
2788,If ure looking for stickers for your pics this app has them ... I just love it :D,US,2014-08-19 23:56:00,5,Svc26,Love it,674208785,
2789,I would give it a full 5 stars but I started a project and completely lost it.,US,2014-08-19 19:08:00,4,Shantana22,Rating,674208785,
2790,I really like this app cause I can add already made sayings to a picture. My grand daughter birthday is coming up and instead of typing happy birthday out\, there is some really cute ones to add to pic plus you can change color and different way it's written out.   Of course you can purchase more sayings. Great app!,US,2014-08-19 13:40:00,5,Ccrs1,Great app!,674208785,
2791,I was very impressed by the big selection for customization. Was a little disappointed when it cost .99 cents to remove the watermark but payed it anyways because that's how the app makes money. But was most disappointed that when my picture saved\, the resolution was much lower than the original photo used causing the picture to not be clear. So I spent a lot of time on the picture\, payed to remove the watermark and received a not clear photo.,US,2014-08-19 05:58:00,3,Jackie3313,Fun but low quality resolution,674208785,
2792,Updated Review 08/18/14: still no improvement in resolution.  What a shame\, such a beautiful app.  Such a disappointment.Original Review:  The app has great functionality\, is feature rich\, but saves at a miserable 1mp (1000x1000). Just enough resolution for social media.  There are much better apps out there that collage at high/printable resolutions and add text overlay apps that save at full resolution of the original image.  This one would be a contender if the developer ups it's game on the saved resolution.,US,2014-08-19 02:14:00,3,Techno-nut,Sophisticated\, full featured\, but lacking in Resolution,674208785,
2793,One of my favorite apps!,US,2014-08-19 01:33:00,5,MandikNyahnak,love it!!,674208785,
2794,I like that there are many things to choose from on photofy\, I wish a few things weren't locked but other than that I have no complaints. After contacting support we now understand the app a little more.,US,2014-08-18 19:52:00,5,CrackersB,Good app,674208785,
2795,easy to use... lovin' it!,US,2014-08-18 05:18:00,5,ianorman,excellent app!,674208785,
2796,I have 4 instead of 5 because they are so many fricken packages you have to buy just to get everything you want !!,US,2014-08-18 03:36:00,4,sammy hammy,Very good,674208785,
2797,I love this app. Love the features. Love all the options. Wish you could pay for everything at once rather than buying 400 different mini packages. WHY DOES IT KEEP CRASHING THOUGH??? I'm most of the way done making something and it crashes. It doesn't save what I was doing so I start all over and then it does it over and over again. SOOOO FRUSTRATING!!! I'm gonna have to find a different app to use until this one is fixed. ,US,2014-08-17 02:11:00,2,Love2bake22,WHY DOES IT KEEP CRASHING?!?!,674208785,
2798,I love this app when it's working. Lately I can't upload pictures because it crashes and shuts off.,US,2014-08-16 01:16:00,3,momw3kids,Love when it doesn't crash,674208785,
2799,This app is Terrible. You spend 20 minutes making a collage and then it crash's. it will crash within 2 minutes. And if you save it it doesn't even show in your camra roll. Dont waste space,US,2014-08-15 02:11:00,1,GreanMamma,Horrible. Dont wast your storage,674208785,
2800,Love this app when all works well. Unfortunately\, I've found a couple of bugs and have lost some work.,US,2014-08-14 02:41:00,3,Shine4,Great when it works,674208785,
2801,Great app for editing photos and collages. I've downloaded\, and paid for many and this one is up there for my favorites. Highly recommend it. :),US,2014-08-13 17:17:00,5,Heathflngn,This app is awesome!,674208785,
2802,Really great,US,2014-08-13 07:50:00,5,bebluesky,Cool~!,674208785,
2803,I am having so much fun with this app!!!  It's like scrap booking on your phone!  Why a great way to create special reminders of epic memories!,US,2014-08-12 16:34:00,5,tink2666,Fabulous App!! ❤️❤️,674208785,
2804,It's super amazing Love it!!!U can do some pretty cool stuffIt's one of my favorite apps!!!!,US,2014-08-11 19:42:00,5,Fsaladin,Best app ever!!!,674208785,
2805,Really love this app! Kudos to the developers!!,US,2014-08-11 00:42:00,5,Kjcmom3,Awesome!,674208785,
2806,I have loved this app since day I downloaded it!  My friends and family love the ideas that u can get doing anything with it! Keep up good work!!,US,2014-08-10 23:15:00,5,Elizabeth Johnson,Absolutely luv it!,674208785,
2807,My fav!!,US,2014-08-09 14:44:00,5,Nonatli,Love it!,674208785,
2808,Awesome app!! My favorite fun photo edit app. So many great options,US,2014-08-08 23:26:00,4,Ackack77,Love it!,674208785,
2809,This is the best photo editing app ever :) I couldn't be happier :),US,2014-08-08 15:44:00,5,Marie96:),:),674208785,
2810,Really fun\, a lot of options\, lots of upload options.,US,2014-08-07 13:18:00,5,Kidsphotos247,Great!,674208785,
2811,Love this app\, love how I have a variety of things to choose from and never had a problem with this app! I would recommend it to anyone!,US,2014-08-07 12:53:00,5,Kenworthysammi,Sammi,674208785,
2812,I like this app\, but it's not as user friendly as others. Please increase the save resolution. I like to print photos.,US,2014-08-07 06:18:00,4,Luvmarye,Like,674208785,
2813,Love photos\, editing photos\, scrapbooking & this app combines so many of those elements all on my phone. This is fun!,US,2014-08-06 19:46:00,5,Joe`l Povolni,Love this app!,674208785,
2814,DONT SEND ME SPAM EMAIL WITHOUT AN UNSUBSCRIBE LINK!,US,2014-08-06 17:18:00,1,Thegreatstate,DONT SEND ME SPAM EMAIL WITHOUT AN UNSUBSCRIBE LINK!,674208785,
2815,,US,2014-08-06 08:14:00,5,LulyCG,Great App ,674208785,
2816,This is the best photo editor ever... I love the features I'm just to excited,US,2014-08-06 03:10:00,5,Beautifulgeekienesh,The best,674208785,
2817,Love the app but keeps crashing today,US,2014-08-05 05:59:00,1,1sylk,Problems....,674208785,
2818,everything of this app is wonderful ;)) <3,US,2014-08-04 16:36:00,5,hannabipuuuu,love love love,674208785,
2819,Just downloaded this app today and absolutely love it!  It is so easy to use and has great graphics!,US,2014-08-04 05:13:00,4,Jessica_Anderson,Love it!,674208785,
2820,Awesome features and so easy to use! Makes pictures 100 times better!,US,2014-08-04 04:03:00,5,Vrodavis,Amazing app!,674208785,
2821,This app is amazing!!!✨,US,2014-08-04 03:31:00,5,K amp,❤️❤️❤️❤️❤️❤️❤️❤️,674208785,
2822,I use this app to make collages of all of my daughter's first holidays. I love it and I got my mom hooked too.,US,2014-08-03 16:48:00,5,LovePink05,Love it,674208785,
2823,Best photo edit app ever!,US,2014-08-03 00:45:00,5,Ckcole13,Wonderful,674208785,
2824,Really cute graphics\, meme set up and just plain fun additions to my photos!,US,2014-08-01 18:22:00,5,Westsidedk,So far\, so addicted!,674208785,
2825,I downloaded this about 20 minutes ago. I've tried to make two collages and two single photos. The app crashed\, each time\, before I could finish making something. After the last crash\, I was asked for a review. Since I am asked to review this app\, before I've had it long enough to see if it works\, this is my review.So far\, it's worthless.,US,2014-08-01 05:37:00,1,Me19802012,I hope it's just for now.,674208785,
2826,So fun cute pic options!!!,US,2014-07-30 07:06:00,5,Sassymo88,Love love love,674208785,
2827,Love it!!!,US,2014-07-30 04:12:00,5,LoriKalani,Best photo app ever!!!!,674208785,
2828,I love it!! My photos looks amazing!!,US,2014-07-30 00:55:00,5,Benitooooo12345,Great app!!,674208785,
2829,So fun to use',US,2014-07-29 16:09:00,5,Mkbozzy,Love',674208785,
2830,Add Phi Mu (ΦΜ)!,US,2014-07-29 15:03:00,1,Audra Daniels,Greek Life designs are lacking....,674208785,
2831,This app is perfect for adding cute saying to pictures. Also great customer support!,US,2014-07-28 17:42:00,5,ebradley8806,Great app,674208785,
2832,Great app. Love the overlays but can't add more than one text.,US,2014-07-28 13:49:00,5,sheilakc,Great\, but...,674208785,
2833,I Just Wish There Was More Gay Things On Here,US,2014-07-28 08:57:00,5,Loveisblind2,Love It,674208785,
2834,This App is awesome n I'm glad I purchased it,US,2014-07-28 06:12:00,5,CaliiOne,,674208785,
2835,I use this app at least twice a day! There are endless possibilities with all of the filters sayings and stickers they provide. Makes my picture that much more beautiful! Thanks Photofy\, I am addicted for life!,US,2014-07-28 03:45:00,5,Aaymanda,SO hooked!,674208785,
2836,Very user friendly and it's fun too!,US,2014-07-27 15:50:00,5,Robbiesmommie,Great app!,674208785,
2837,LOVE this app. Seriously so much fun.,US,2014-07-27 15:10:00,5,Twinzymom,Fun fun fun!,674208785,
2838,Very cool,US,2014-07-26 12:07:00,5,humphriesj,Awesome!,674208785,
2839,Great app\, easy to use and tons of options even without the upgrade it's great!,US,2014-07-25 18:19:00,5,Awoods1,Excellent!,674208785,
2840,This is the greatest app ever made of its kind!! I love this app! And they showcase their fav pics on intsagram every week to show you some love back for using the app! Love love love it!!! ,US,2014-07-25 16:50:00,5,Vhfgnnc,Amazing,674208785,
2841,The best App ever,US,2014-07-25 13:36:00,5,Vzlalover,TheBest,674208785,
2842,One day in and I'm loving it! So seamless and easy to use.,US,2014-07-24 20:45:00,5,LGH Dave,Seriously great!,674208785,
2843,I have been using this app for almost a month\, and I really enjoy it. Lol\, my friends and family do too. I have not had any problems using it & think it is a very powerful enhancement for my photos !!! Ty for this !,US,2014-07-24 03:33:00,5,Wea go mea,Eh,674208785,
2844,And love it even more that it works across platforms!!! :D,US,2014-07-23 14:52:00,5,mooshkabug,Absolutely LOVE it!!!!!,674208785,
2845,I love all of the stickers! That's mainly what I use this app for\, sets my photos apart from others w| all of the quotes\, stickers\, etc,US,2014-07-23 13:49:00,5,NeshBgorgeous,Great stuff,674208785,
2846,Love the huge selection of stickers and all the filters,US,2014-07-23 13:43:00,5,Jenmurray0217,Love it,674208785,
2847,Love making my photos creative...,US,2014-07-23 06:40:00,5,Lulu mama,Easy to use!,674208785,
2848,Didn't work for me... Keep saying access denied.,US,2014-07-22 20:52:00,1,Momma179,Didn't work well.,674208785,
2849,It's so good that I love it,US,2014-07-21 21:39:00,5,Jessie lol44,Lol,674208785,
2850,Love this it's so easy to use . Love the stickers and frames and like the fact I can change the color on the print!,US,2014-07-21 15:17:00,5,Iluvehair27,Awesome app,674208785,
2851,Great app,US,2014-07-20 20:32:00,5,Red4193,Love it,674208785,
2852,✔️ love this Apps keep it up♥️,US,2014-07-19 03:56:00,5,cruely,Fun&Amazing,674208785,
2853,I've been searching for the coolest photo app\, and I think I found it!!!,US,2014-07-19 03:33:00,5,mjfeick,Best yet!,674208785,
2854,I like it so far but not for printable pics,US,2014-07-19 01:52:00,4,Patycaceres2321,Good!,674208785,
2855,Takes photos to the next level. Love this app!!! ❤️❤️❤️,US,2014-07-18 20:01:00,5,Ltlamb0906,Cute!,674208785,
2856,Love the different designs of text and stickers. They are modern and up to date - not cheesy at all! Need to add more filters though for the photos. I like options :),US,2014-07-18 19:24:00,4,DPeif,Best to capture the moment,674208785,
2857,This app is so clean and easy to use. It replaced a few different apps for me. The graphics are classy.  I love it.,US,2014-07-18 14:04:00,5,TheMakeupSnob,Love,674208785,
2858,Relatively easy to use,US,2014-07-18 13:06:00,4,Salad fan,Nice!,674208785,
2859,Good stuff ;),US,2014-07-18 02:55:00,5,Solkeriil,Love it!!! Just dont like have to buy lol but I looooove it,674208785,
2860,Always excited for an update and this one didn't disappoint with the new collage option.,US,2014-07-18 02:37:00,5,Zulily Shopper Mom,Fun with photos,674208785,
2861,I love using this!,US,2014-07-18 00:10:00,5,Benjammin37,Great app,674208785,
2862,❤️❤️❤️,US,2014-07-17 04:33:00,5,Sashimisimsimi,Love love love!,674208785,
2863,Wonderful app!!!!,US,2014-07-16 14:38:00,5,angier1,Love it!,674208785,
2864,I love this new version!  Finally able to make collages. I love how you can change the borders of the collages and add designs instead of photos if you want. Very cool!,US,2014-07-16 02:49:00,5,Sunny6114,Awesome update!,674208785,
2865,Great\, until the upgrade now it kicks me out all the time !! :(,US,2014-07-15 12:15:00,3,Jess Acedo,Argh,674208785,
2866,Like this App a lot! It's really to use and user friendly application.,US,2014-07-15 06:27:00,5,SangsVij,Magic!,674208785,
2867,Crashes Crashes CrashesI never got a single collage made.,US,2014-07-15 03:12:00,1,carmenkatrina,CRASHES,674208785,
2868,I really like all the cute designs and stickers\, it's one of my go to apps!!!!!,US,2014-07-15 01:58:00,5,Sweetface8096,Love it!,674208785,
2869,This is the best App ever!!! I LOVE IT!!!,US,2014-07-14 17:26:00,5,Tinkivinki21,The Best!!!,674208785,
2870,I love this app! If you're like me and think the last thing need is another photo editing app\, you're wrong! Download THIS! It's fresh and different... I find myself taking photo just to use this app. ,US,2014-07-13 22:15:00,5,★Paizley★,Hands down my new favorite app!,674208785,
2871,This app is very cool. So many options to make your photo majestic. As said\, AMAZING!!,US,2014-07-13 02:23:00,5,TurtleBadger,Amazing,674208785,
2872,I absolutely LOVE this app\, there are so many choices:),US,2014-07-12 21:20:00,5,Christina3689,Best photo app!!,674208785,
2873,This is the best APP ever!!! It is so nice to make your photo unique !! The only other thing you need to do so you can share it on Instagram is go to the 'InstaSize'APP and that makes it compatible with your Instagram so it doesn't cut the top part of the picture off!!!,US,2014-07-12 01:24:00,5,David Maples,Best,674208785,
2874,Great app,US,2014-07-10 19:38:00,5,Cierae,Fun,674208785,
2875,Lots of graphics and features. Incredible,US,2014-07-10 19:36:00,5,Lark Aakarshan,Awesome bossom,674208785,
2876,Good quality photos and great filters ! I'm in love with PHOTOFY✋,US,2014-07-09 15:45:00,5,Des™,Awesome,674208785,
2877,This is a creative app it is really cool and i like the affects it gives my pictures,US,2014-07-08 22:30:00,5,Ugh_me,Amazing ,674208785,
2878,The best photo app ever!!,US,2014-07-08 14:59:00,5,Lorenice,Me encanta!!,674208785,
2879,Awesome app!,US,2014-07-08 03:40:00,5,Fitwhit87,Cool,674208785,
2880,Still seeing what all it can do!!! So much!! Love it!,US,2014-07-07 17:34:00,5,scorched100,So fun!!!,674208785,
2881,Pretty cool,US,2014-07-07 03:04:00,5,skwtootie,,674208785,
2882,...this app is great for adding quotes or words to photos! It's fun and the new range of colors is phenomenal. I do wish you could change the colors of the preset designs. Great work so far Photofy. THANK YOU.,US,2014-07-06 19:28:00,5,lowercasek,Great for quotable photos...,674208785,
2883,Great app and wonder options,US,2014-07-06 18:13:00,5,tracy27rt,Awesome,674208785,
2884,I love it!! I just found it\, so I'll review again after I've used it more\, so far so good!!,US,2014-07-06 17:21:00,5,*Jules 72*,I love this app!,674208785,
2885,Best photo app yet!!,US,2014-07-06 03:38:00,5,kill3rp3nguin96,Awesome,674208785,
2886,This app was not what I was expecting and I am very pleased with it because it has made me addicted and made me want to make a ton of pictures with quotes but it does sometimes make me mad because one time I was workings on a photo and then it wouldn't let me save it so I had to start all over again... Other then that I love this app like my all time favorite,US,2014-07-05 23:47:00,5,Bella5935,,674208785,
2887,This app is perfect,US,2014-07-05 13:22:00,5,Nicolagc,Awesome,674208785,
2888,I Love this app! Love to have more updates and freebies. Thanks for make my pics a happy ones...,US,2014-07-05 06:54:00,5,Xhyka,Quality!!!!,674208785,
2889,Awesome app!,US,2014-07-04 23:21:00,5,Ashgay85,Super cute!,674208785,
2890,This App is Absolutely Awesome! :),US,2014-07-04 22:46:00,5,MJ*Verg,Best Photo App Ever,674208785,
2891,I love this app so much! Everything is excellent\, except the text 'PHOTOFY' on the exported photo. Could you add the option to remove it?,US,2014-07-04 01:41:00,4,Thao 4T,Love this app,674208785,
2892,I have no words well actually those are words!!,US,2014-07-04 00:30:00,5,anna_king,Unbelievable!!!,674208785,
2893,So much variety i can't even believe it..user friendly!!! Highly recommend it,US,2014-07-03 19:05:00,5,violet ballew,My Best New App!!!,674208785,
2894,I'm so happy that I found this app! It does amazing edits and has all the tools I need. Awesome App!,US,2014-07-03 12:18:00,5,Hawaiian LILO,Just what I have been searching for....,674208785,
